performance_name,performance_date,performance_casts,performance_genre,performance_venue
Sonata of a Flame,2019.04.26 ~ 2019.05.12,"Ryeowook(SUPER JUNIOR), Ken(VIXX), Shin Wonho(CROSS GENE) etc",Musical,SMTOWN THEATRE
XIUMIN Fan Meeting [Xiuweet Time],2019.05.04,XIUMIN(EXO),Fan Meeting,Jamsil Indoor Stadium
Kim Hee Chul Talk Show 'HEE Talk',2019.05.04 ~ 2019.05.05,Kim Hee Chul(Super Junior),Fan Meeting,"K-Art Hall, Olympic Park"
Yoon Jisung Special Fan Meeting ‚ÄòDear diary‚Ä?,2019.05.04 ~ 2019.05.05,Yoon Jisung,Fan Meeting,"Grand Peace Palace, Kyung Hee University"
Bolbalgan4 Spring Concert,2019.05.04 ~ 2019.05.05,Bolbalgan4,Concert,Blue Square I-Market Hall
Jekyll and Hyde,2018.11.13 ~ 2019.05.19,"Cho Seung-woo, IVY etc",Musical,Charlotte Theater
The Days,2019.02.22 ~ 2019.05.06,"Oh Jong-hyuk, Nam Woo Hyun(INFIINITE), YOON JI SUNG etc",Musical,BLUE SQUARE Interpark Hall
Sonata of a Flame,2019.04.26 ~ 2019.05.12,"Ryeowook(SUPER JUNIOR), Ken(VIXX), Shin Wonho(CROSS GENE) etc",Musical,SMTOWN THEATRE
SON DONGWOON LIVE 2019 [The Orchestra],2019.04.27 ~ 2019.04.28,Son Dong Woon(HIGHLIGHT),Concert,YES24 LIVE HALL
2019 PENTAGON „ÄåPRISM„Ä?,2019.04.27 ~ 2019.04.28,PENTAGON,Concert,Blue Square I-Market Hall
BAE JIN YOUNG 1ST ASIA FANMEETING TOUR IN SEOUL [IM YOUNG],2019.04.27 ~ 2019.04.28,Bae Jin Young,Fan Meeting,"Grand Peace Palace, Kyung Hee University"
2019 Joo Won Fan Meeting „ÄåSpring„ÄÅand Present„Ä?,2019.04.27,Joo Won,Fan Meeting,ILCHI ART HALL
N.Flying „ÄåFLY HIGH PROJECT NOTE 3„Ä?,2019.04.27,N.Flying,Concert,MUVHALL
2019 LEE JOONGI ASIA TOUR „ÄåDelightÔºöFor Us„Ä?in SEOUL,2019.04.28,Lee Joongi,Fan Meeting,"Olympic Hall, Olympic Park"
Jekyll and Hyde,2018.11.13 ~ 2019.05.19,"Cho Seung-woo, IVY etc",Musical,Charlotte Theater
The Days,2019.02.22 ~ 2019.05.06,"Oh Jong-hyuk, Nam Woo Hyun(INFIINITE), YOON JI SUNG etc",Musical,BLUE SQUARE Interpark Hall
Sonata of a Flame,2019.04.26 ~ 2019.05.12,"Ryeowook(SUPER JUNIOR), Ken(VIXX), Shin Wonho(CROSS GENE) etc",Musical,SMTOWN THEATRE
2019 MAMAMOO Concert [4season F/W],2019.04.19 ~ 2019.04.21,MAMAMOO,Concert,Jangchung Gymnasium
Stray Kids [HI-STAY TOUR FINALE IN SEOUL],2019.04.20,Stray Kids,Concert,"Olympic Hall, Olympic Park"
Apink 6th 'PANDA' FAN MEETING,2019.04.20,Apink,Fan meeting,"DeaYang Hall, Sejong University"
2019 OH MY GIRL Fan meeting 'Today is a miracle again',2019.04.20,OH MY GIRL,Fan meeting,"Munhwa Building, Kwangwoon University"
2019 SHINHWA 21st ANNIVERSARY CONCERTÔºçCHAPTER 4,2019.04.20 ~ 2019.04.21,SHINHWA,Concert,"KSPO DOME, Olympic Park"
Jekyll and Hyde,2018.11.13 ~ 2019.05.19,"Cho Seung-woo, IVY etc",Musical,Charlotte Theater
The Days,2019.02.22 ~ 2019.05.06,"Oh Jong-hyuk, Nam Woo Hyun(INFIINITE), YOON JI SUNG etc",Musical,BLUE SQUARE Interpark Hall
The Shinheung Military School,2019.02.27 ~ 2019.04.21,"Onew(SHINee), Sung Kyu(INFINITE), Ji Chang wook, Kang Ha Neul etc",Musical,Gwanglim Art Center BBCH Hall
2019 Jang Bum June Concert [in Singing Room] - Seoul,2019.04.06 ~ 2019.04.14,Jang Bum June,Concert,Blue Square I-Market Hall
2019 NU‚ÄôEST CONCERT [Segno] IN SEOUL,2019.04.12 ~ 2019.04.14,NUEST,Concert,"KSPO DOME, Olympic Park"
SUPER JUNIOR-D&E Concert „ÄåTHE D&E„Ä?,2019.04.13 ~ 2019.04.14,"SUPER JUNIOR-D&E(Donghae, Eunhyuk)",Concert,"Olympic Hall, Olympic Park"
2019 MONSTA X WORLD TOUR ‚ÄòWE ARE HERE‚Ä?IN SEOUL,2019.04.13 ~ 2019.04.14,MONSTA X,Concert,"SK Olympic Handball Gymnasium, Olympic Park"
LOG INTO THE SPACE -2019 HYUN BIN FAN MEETING TOUR-,2019.04.13,Hyun Bin,Fan Meeting,"Daeyang Hall, Sejong University"
Thunder Concert „ÄåMemory„Ä?,2019.04.13,Thunder,Concert,KT&G SangSangMadang Live Hall
Jekyll and Hyde,2018.11.13 ~ 2019.05.19,"Cho Seung-woo, IVY etc",Musical,Charlotte Theater
The Days,2019.02.22 ~ 2019.05.06,"Oh Jong-hyuk, Nam Woo Hyun(INFIINITE), YOON JI SUNG etc",Musical,BLUE SQUARE Interpark Hall
The Shinheung Military School,2019.02.27 ~ 2019.04.21,"Onew(SHINee), Sung Kyu(INFINITE), Ji Chang wook, Kang Ha Neul etc",Musical,Gwanglim Art Center BBCH Hall
2019 Jang Bum June Concert [in Singing Room] - Seoul,2019.04.06 ~ 2019.04.14,Jang Bum June,Concert,Blue Square I-Market Hall
2019 LAI KUANLIN Fan Meeting [Good Feeling],2019.04.06,LAI KUANLIN,Fan Meeting,"Olympic Hall, Olympic Park"
YURI 1st Fanmeeting Tour [INTO YURI] in SEOUL,2019.04.07,YURI(Girls' Generation),Fan Meeting,YES24 LIVE HALL
HAPPY KEN DAY [I KEN DO IT],2019.04.06,KEN(VIXX),Fan Meeting,SMTOWN THEATRE
Jekyll and Hyde,2018.11.13 ~ 2019.05.19,"Cho Seung-woo, IVY etc",Musical,Charlotte Theater
The Days,2019.02.22 ~ 2019.05.06,"Oh Jong-hyuk, Nam Woo Hyun(INFIINITE), YOON JI SUNG etc",Musical,BLUE SQUARE Interpark Hall
The Shinheung Military School,2019.02.27 ~ 2019.04.21,"Onew(SHINee), Sung Kyu(INFINITE), Ji Chang wook, Kang Ha Neul etc",Musical,Gwanglim Art Center BBCH Hall
